"Territorial Unit,""Year"",""Sex"",""Age"",""Limited"""
"Sweden,""2004"",""Women"",""70-74"",""0.225"""
"Sweden,""2004"",""Women"",""75-79"",""0.254"""
"Sweden,""2004"",""Women"",""80-84"",""0.252"""
"Sweden,""2004"",""Women"",""85+"",""0.199"""
"Sweden,""2004"",""Men"",""16-19"",""0.064"""
"Sweden,""2004"",""Men"",""20-24"",""0.081"""
"Sweden,""2004"",""Men"",""25-29"",""0.069"""
"Sweden,""2004"",""Men"",""30-34"",""0.094"""
"Sweden,""2004"",""Men"",""35-39"",""0.071"""
"Sweden,""2004"",""Men"",""40-44"",""0.078"""
"Sweden,""2004"",""Men"",""45-49"",""0.081"""
"Sweden,""2004"",""Men"",""50-54"",""0.134"""
"Sweden,""2004"",""Men"",""55-59"",""0.134"""
"Sweden,""2004"",""Men"",""60-64"",""0.181"""
"Sweden,""2004"",""Men"",""65-69"",""0.213"""
"Sweden,""2004"",""Men"",""70-74"",""0.21"""
"Sweden,""2004"",""Men"",""75-79"",""0.13"""
"Sweden,""2004"",""Men"",""80-84"",""0.242"""
"Sweden,""2004"",""Men"",""85+"",""0.167"""
"Austria,""2005"",""Women"",""16-19"",""0.061"""
"Austria,""2005"",""Women"",""20-24"",""0.057"""
"Austria,""2005"",""Women"",""25-29"",""0.066"""
"Austria,""2005"",""Women"",""30-34"",""0.085"""
"Austria,""2005"",""Women"",""35-39"",""0.116"""
"Austria,""2005"",""Women"",""40-44"",""0.165"""
"Austria,""2005"",""Women"",""45-49"",""0.165"""
"Austria,""2005"",""Women"",""50-54"",""0.206"""
"Austria,""2005"",""Women"",""55-59"",""0.268"""
"Austria,""2005"",""Women"",""60-64"",""0.25"""
"Austria,""2005"",""Women"",""65-69"",""0.32"""
"Austria,""2005"",""Women"",""70-74"",""0.437"""
"Austria,""2005"",""Women"",""75-79"",""0.332"""
"Austria,""2005"",""Women"",""80-84"",""0.349"""
"Austria,""2005"",""Women"",""85+"",""0.323"""
"Austria,""2005"",""Men"",""16-19"",""0.07"""
"Austria,""2005"",""Men"",""20-24"",""0.039"""
"Austria,""2005"",""Men"",""25-29"",""0.07"""
"Austria,""2005"",""Men"",""30-34"",""0.087"""
"Austria,""2005"",""Men"",""35-39"",""0.094"""
"Austria,""2005"",""Men"",""40-44"",""0.097"""
"Austria,""2005"",""Men"",""45-49"",""0.158"""
"Austria,""2005"",""Men"",""50-54"",""0.192"""
"Austria,""2005"",""Men"",""55-59"",""0.258"""
"Austria,""2005"",""Men"",""60-64"",""0.308"""
"Austria,""2005"",""Men"",""65-69"",""0.293"""
"Austria,""2005"",""Men"",""70-74"",""0.368"""
"Austria,""2005"",""Men"",""75-79"",""0.324"""
"Austria,""2005"",""Men"",""80-84"",""0.359"""
"Austria,""2005"",""Men"",""85+"",""0.315"""
"Belgium,""2005"",""Women"",""16-19"",""0.083"""
"Belgium,""2005"",""Women"",""20-24"",""0.064"""
"Belgium,""2005"",""Women"",""25-29"",""0.084"""
"Belgium,""2005"",""Women"",""30-34"",""0.096"""
"Belgium,""2005"",""Women"",""35-39"",""0.1"""
"Belgium,""2005"",""Women"",""40-44"",""0.133"""
"Belgium,""2005"",""Women"",""45-49"",""0.174"""
"Belgium,""2005"",""Women"",""50-54"",""0.18"""
"Belgium,""2005"",""Women"",""55-59"",""0.212"""
"Belgium,""2005"",""Women"",""60-64"",""0.255"""
"Belgium,""2005"",""Women"",""65-69"",""0.213"""
"Belgium,""2005"",""Women"",""70-74"",""0.261"""
"Belgium,""2005"",""Women"",""75-79"",""0.288"""
"Belgium,""2005"",""Women"",""80-84"",""0.318"""
"Belgium,""2005"",""Women"",""85+"",""0.298"""
"Belgium,""2005"",""Men"",""16-19"",""0.034"""
"Belgium,""2005"",""Men"",""20-24"",""0.065"""
"Belgium,""2005"",""Men"",""25-29"",""0.068"""
"Belgium,""2005"",""Men"",""30-34"",""0.074"""
"Belgium,""2005"",""Men"",""35-39"",""0.113"""
"Belgium,""2005"",""Men"",""40-44"",""0.09"""
"Belgium,""2005"",""Men"",""45-49"",""0.119"""
"Belgium,""2005"",""Men"",""50-54"",""0.137"""
"Belgium,""2005"",""Men"",""55-59"",""0.162"""
"Belgium,""2005"",""Men"",""60-64"",""0.187"""
"Belgium,""2005"",""Men"",""65-69"",""0.2"""
"Belgium,""2005"",""Men"",""70-74"",""0.249"""
"Belgium,""2005"",""Men"",""75-79"",""0.281"""
"Belgium,""2005"",""Men"",""80-84"",""0.339"""
"Belgium,""2005"",""Men"",""85+"",""0.375"""
"Denmark,""2005"",""Women"",""16-19"",""0.036"""
"Denmark,""2005"",""Women"",""20-24"",""0.148"""
"Denmark,""2005"",""Women"",""25-29"",""0.099"""
"Denmark,""2005"",""Women"",""30-34"",""0.115"""
"Denmark,""2005"",""Women"",""35-39"",""0.119"""
"Denmark,""2005"",""Women"",""40-44"",""0.156"""
"Denmark,""2005"",""Women"",""45-49"",""0.166"""
"Denmark,""2005"",""Women"",""50-54"",""0.243"""
"Denmark,""2005"",""Women"",""55-59"",""0.217"""
"Denmark,""2005"",""Women"",""60-64"",""0.203"""
"Denmark,""2005"",""Women"",""65-69"",""0.279"""
"Denmark,""2005"",""Women"",""70-74"",""0.217"""
"Denmark,""2005"",""Women"",""75-79"",""0.266"""
"Denmark,""2005"",""Women"",""80-84"",""0.23"""
"Denmark,""2005"",""Women"",""85+"",""0.35"""
"Denmark,""2005"",""Men"",""16-19"",""0.071"""
"Denmark,""2005"",""Men"",""20-24"",""0.074"""
"Denmark,""2005"",""Men"",""25-29"",""0.046"""
"Denmark,""2005"",""Men"",""30-34"",""0.064"""
"Denmark,""2005"",""Men"",""35-39"",""0.083"""
"Denmark,""2005"",""Men"",""40-44"",""0.079"""
"Denmark,""2005"",""Men"",""45-49"",""0.104"""
"Denmark,""2005"",""Men"",""50-54"",""0.131"""
"Denmark,""2005"",""Men"",""55-59"",""0.151"""
"Denmark,""2005"",""Men"",""60-64"",""0.151"""
"Denmark,""2005"",""Men"",""65-69"",""0.155"""
"Denmark,""2005"",""Men"",""70-74"",""0.135"""
"Denmark,""2005"",""Men"",""75-79"",""0.231"""
"Denmark,""2005"",""Men"",""80-84"",""0.225"""
"Denmark,""2005"",""Men"",""85+"",""0.215"""
"Finland,""2005"",""Women"",""16-19"",""0.133"""
"Finland,""2005"",""Women"",""20-24"",""0.181"""
"Finland,""2005"",""Women"",""25-29"",""0.215"""
"Finland,""2005"",""Women"",""30-34"",""0.179"""
"Finland,""2005"",""Women"",""35-39"",""0.234"""
"Finland,""2005"",""Women"",""40-44"",""0.244"""
"Finland,""2005"",""Women"",""45-49"",""0.212"""
"Finland,""2005"",""Women"",""50-54"",""0.293"""
"Finland,""2005"",""Women"",""55-59"",""0.337"""
"Finland,""2005"",""Women"",""60-64"",""0.395"""
"Finland,""2005"",""Women"",""65-69"",""0.405"""
"Finland,""2005"",""Women"",""70-74"",""0.301"""
"Finland,""2005"",""Women"",""75-79"",""0.378"""
"Finland,""2005"",""Women"",""80-84"",""0.413"""
"Finland,""2005"",""Women"",""85+"",""0.332"""
"Finland,""2005"",""Men"",""16-19"",""0.144"""
"Finland,""2005"",""Men"",""20-24"",""0.133"""
"Finland,""2005"",""Men"",""25-29"",""0.152"""
"Finland,""2005"",""Men"",""30-34"",""0.196"""
"Finland,""2005"",""Men"",""35-39"",""0.223"""
"Finland,""2005"",""Men"",""40-44"",""0.243"""
"Finland,""2005"",""Men"",""45-49"",""0.195"""
"Finland,""2005"",""Men"",""50-54"",""0.268"""
"Finland,""2005"",""Men"",""55-59"",""0.314"""
"Finland,""2005"",""Men"",""60-64"",""0.401"""
"Finland,""2005"",""Men"",""65-69"",""0.351"""
"Finland,""2005"",""Men"",""70-74"",""0.341"""
"Finland,""2005"",""Men"",""75-79"",""0.397"""
"Finland,""2005"",""Men"",""80-84"",""0.465"""
"Finland,""2005"",""Men"",""85+"",""0.484"""
"France,""2005"",""Women"",""16-19"",""0.069"""
"France,""2005"",""Women"",""20-24"",""0.052"""
"France,""2005"",""Women"",""25-29"",""0.048"""
"France,""2005"",""Women"",""30-34"",""0.087"""
"France,""2005"",""Women"",""35-39"",""0.083"""
"France,""2005"",""Women"",""40-44"",""0.107"""
