"Territorial Unit","Year","Sex","Age","Severely Limited"
"Finland","2005","Men","65-69","0.161"
"Finland","2005","Men","70-74","0.233"
"Finland","2005","Men","75-79","0.254"
"Finland","2005","Men","80-84","0.335"
"Finland","2005","Men","85+","0.276"
"France","2005","Women","16-19","0.009"
"France","2005","Women","20-24","0.011"
"France","2005","Women","25-29","0.015"
"France","2005","Women","30-34","0.016"
"France","2005","Women","35-39","0.025"
"France","2005","Women","40-44","0.027"
"France","2005","Women","45-49","0.06"
"France","2005","Women","50-54","0.042"
"France","2005","Women","55-59","0.065"
"France","2005","Women","60-64","0.081"
"France","2005","Women","65-69","0.1"
"France","2005","Women","70-74","0.13"
"France","2005","Women","75-79","0.185"
"France","2005","Women","80-84","0.298"
"France","2005","Women","85+","0.384"
"France","2005","Men","16-19","0.018"
"France","2005","Men","20-24","0.009"
"France","2005","Men","25-29","0.009"
"France","2005","Men","30-34","0.019"
"France","2005","Men","35-39","0.027"
"France","2005","Men","40-44","0.032"
"France","2005","Men","45-49","0.046"
"France","2005","Men","50-54","0.056"
"France","2005","Men","55-59","0.05"
"France","2005","Men","60-64","0.08"
"France","2005","Men","65-69","0.086"
"France","2005","Men","70-74","0.162"
"France","2005","Men","75-79","0.195"
"France","2005","Men","80-84","0.244"
"France","2005","Men","85+","0.357"
"Germany","2005","Women","16-19","0.008"
"Germany","2005","Women","20-24","0.011"
"Germany","2005","Women","25-29","0.021"
"Germany","2005","Women","30-34","0.02"
"Germany","2005","Women","35-39","0.031"
"Germany","2005","Women","40-44","0.053"
"Germany","2005","Women","45-49","0.076"
"Germany","2005","Women","50-54","0.094"
"Germany","2005","Women","55-59","0.113"
"Germany","2005","Women","60-64","0.108"
"Germany","2005","Women","65-69","0.137"
"Germany","2005","Women","70-74","0.157"
"Germany","2005","Women","75-79","0.182"
"Germany","2005","Women","80-84","0.303"
"Germany","2005","Women","85+","0.556"
"Germany","2005","Men","16-19","0.01"
"Germany","2005","Men","20-24","0.016"
"Germany","2005","Men","25-29","0.017"
"Germany","2005","Men","30-34","0.025"
"Germany","2005","Men","35-39","0.03"
"Germany","2005","Men","40-44","0.043"
"Germany","2005","Men","45-49","0.075"
"Germany","2005","Men","50-54","0.111"
"Germany","2005","Men","55-59","0.146"
"Germany","2005","Men","60-64","0.173"
"Germany","2005","Men","65-69","0.11"
"Germany","2005","Men","70-74","0.154"
"Germany","2005","Men","75-79","0.16"
"Germany","2005","Men","80-84","0.163"
"Germany","2005","Men","85+","0.328"
"Greece","2005","Women","16-19","0.012"
"Greece","2005","Women","20-24","0.001"
"Greece","2005","Women","25-29","0.01"
"Greece","2005","Women","30-34","0.02"
"Greece","2005","Women","35-39","0.017"
"Greece","2005","Women","40-44","0.019"
"Greece","2005","Women","45-49","0.03"
"Greece","2005","Women","50-54","0.072"
"Greece","2005","Women","55-59","0.092"
"Greece","2005","Women","60-64","0.066"
"Greece","2005","Women","65-69","0.128"
"Greece","2005","Women","70-74","0.15"
"Greece","2005","Women","75-79","0.164"
"Greece","2005","Women","80-84","0.239"
"Greece","2005","Women","85+","0.303"
"Greece","2005","Men","16-19","0"
"Greece","2005","Men","20-24","0.005"
"Greece","2005","Men","25-29","0.004"
"Greece","2005","Men","30-34","0.016"
"Greece","2005","Men","35-39","0.021"
